HBDNO,BULD_REGSTR_PK,TOTAL_REGSTR_PK,BULDGB,REGSTRKD,ARCODE,LEGCD,BUN,JI,RDCODE,RDLEGCD,UNDER_AT,BD_MAIN_BUN,BD_SUB_BUN,CRDE
BS0203117101110001040006000002189,10251100235037,,2,3,11710,11100,0104,0006,117104169429,11101,0,00050,00025,20220813
BS0102117101110001880014000002190,10251100453687,,1,2,11710,11100,0188,0014,117104169372,11101,0,00020,00030,20220813
BS0203117101110001190017000002191,10251100455287,,2,3,11710,11100,0119,0017,117104169384,11101,0,00015,00001,20220813
BS0203117101110001130015000002192,10251100503656,,2,3,11710,11100,0113,0015,117104169382,11101,0,00009,00001,20220813
BS0203117101110000540010000002193,10251100505261,,2,3,11710,11100,0054,0010,117104169456,11101,0,00035,00011,20241025
BS0203117101110001020012000002194,10251100509821,,2,3,11710,11100,0102,0012,117104169456,11101,0,00043,00000,20220813
BS0203117101110001990003000002195,10251100528262,,2,3,11710,11100,0199,0003,117104169087,11101,0,00010,00000,20220813
BS0203117101110001110013000002196,10251100553422,,2,3,11710,11100,0111,0013,117104169200,11101,0,00004,00021,20220813
BS0203117101110001600001000002197,1000000000000000085025,1000000000000000085011,2,3,11710,11100,0160,0001,117103123001,11103,0,00274,00000,20250828
BS0203117101110001160006000002198,1000000000000002210867,,2,3,11710,11100,0116,0006,117104169200,11101,0,00020,00000,20250619
BS0203117101110000890000000002199,102512829,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0102117101110001070005000002200,102514174,,1,2,11710,11100,0107,0005,117103123006,11105,0,00467,00000,20220813
BS0102117101110002180025000002201,102516583,,1,2,11710,11100,0218,0025,117104169109,11101,0,00017,00000,20221103
BS0102117101110001690014000002202,102517025,,1,2,11710,11100,0169,0014,117104169202,11101,0,00041,00023,20250604
BS0203117101110001870002000002203,102517913,,2,3,11710,11100,0187,0002,117104169451,11101,0,00008,00000,20250411
BS0203117101110001790001000002204,102518956,,2,3,11710,11100,0179,0001,117104169202,11101,0,00007,00018,20220813
BS0102117101110001480010000002205,102518983,,1,2,11710,11100,0148,0010,117104169199,11101,0,00010,00000,20250604
BS0203117101110001450065000002206,102519383,,2,3,11710,11100,0145,0065,117104169382,11101,0,00030,00002,20220813
BS0102117101110001600009000002207,102519395,,1,2,11710,11100,0160,0009,117104169023,11101,0,00006,00000,20220813
BS0102117101110002180035000002208,1025110606,,1,2,11710,11100,0218,0035,117104169390,11101,0,00022,00000,20220813
BS0102117101110000600020000002209,1025110897,,1,2,11710,11100,0060,0020,117104169429,11101,0,00021,00023,20241106
BS0102117101110002020002000002210,1025112590,,1,2,11710,11100,0202,0002,117104169372,11101,0,00019,00007,20220813
BS0203117101110001540008000002211,1025112734,,2,3,11710,11100,0154,0008,117104169458,11101,0,00024,00014,20220813
BS0102117101110001310019000002212,1025112742,,1,2,11710,11100,0131,0019,117104169017,11101,0,00015,00000,20221108
BS0102117101110001760005000002213,1025113990,,1,2,11710,11100,0176,0005,117104169202,11101,0,00015,00007,20220813
BS0203117101110001440028000002214,1025115112,,2,3,11710,11100,0144,0028,117104169458,11101,0,00044,00000,20220813
BS0102117101110000540000000002215,1025115174,,1,2,11710,11100,0054,0000,117104169456,11101,0,00035,00001,20250604
BS0102117101110001480000000002216,1025116849,,1,2,11710,11100,0148,0000,117104169199,11101,0,00014,00000,20240313
BS0203117101110001030023000002217,1025116872,,2,3,11710,11100,0103,0023,117104169429,11101,0,00049,00016,20220813
BS0203117101110001340004000002218,1025117044,,2,3,11710,11100,0134,0004,117104169017,11101,0,00009,00013,20220813
BS0102117101110001440031000002219,1025117468,,1,2,11710,11100,0144,0031,117104169199,11101,0,00014,00017,20220813
BS0102117101110001260000000002220,1025118086,,1,2,11710,11100,0126,0000,117103123001,11103,0,00244,00000,20250630
BS0203117101110001590010000002221,1025118152,,2,3,11710,11100,0159,0010,117104169202,11101,0,00042,00007,20220813
BS0203117101110001990013000002222,1025118179,,2,3,11710,11100,0199,0013,117104169372,11101,0,00027,00008,20220813
BS0102117101110001630009000002223,1025118479,,1,2,11710,11100,0163,0009,117104169448,11101,0,00034,00000,20220813
BS0203117101110001150005000002224,1025120271,,2,3,11710,11100,0115,0005,117103123014,11104,0,00181,00000,20220813
BS0203117101110001060003000002225,1025120968,,2,3,11710,11100,0106,0003,117104169429,11101,0,00057,00005,20220813
BS0102117101110001020015000002226,1025121065,,1,2,11710,11100,0102,0015,117104169456,11101,0,00049,00000,20220813
BS0203117101110001640013000002227,1025121853,,2,3,11710,11100,0164,0013,117104169023,11101,0,00015,00022,20220813
BS0102117101110001020002000002228,1025122434,,1,2,11710,11100,0102,0002,117104169429,11101,0,00049,00000,20220813
BS0102117101110001070004000002229,1025122659,10251100236297,1,2,11710,11100,0107,0004,117103123006,11105,0,00465,00000,20250908
BS0102117101110000620008000002230,1025124121,,1,2,11710,11100,0062,0008,117104169375,11101,0,00009,00000,20250624
BS0203117101110002010009000002231,1025124742,,2,3,11710,11100,0201,0009,117104169372,11101,0,00019,00004,20220813
BS0203117101110001480016000002232,1025124837,,2,3,11710,11100,0148,0016,117104169380,11101,0,00027,00001,20220813
BS0102117101110000930006000002233,1025124877,,1,2,11710,11100,0093,0006,117104169429,11101,0,00042,00000,20250226
BS0102117101110001220001000002234,1025125007,,1,2,11710,11100,0122,0001,117104169384,11101,0,00020,00000,20220813
BS0203117101110000600000000002235,10251100450354,,2,3,11710,11100,0060,0000,117104169429,11101,0,00019,00000,20250701
BS0203117101110001560016000002236,10251100454555,,2,3,11710,11100,0156,0016,117104169202,11101,0,00030,00021,20220813
BS0203117101110001610018000002237,10251100455126,,2,3,11710,11100,0161,0018,117104169447,11101,0,00030,00001,20220813
BS0203117101110001230001000002238,10251100467862,,2,3,11710,11100,0123,0001,117104169459,11101,0,00057,00001,20220813
BS0203117101110001610019000002239,10251100469094,,2,3,11710,11100,0161,0019,117104169447,11101,0,00034,00000,20220813
BS0102117101110001090009000002240,10251100480394,,1,2,11710,11100,0109,0009,117103123014,11104,0,00133,00000,20220813
BS0203117101110001750001000002241,10251100493414,,2,3,11710,11100,0175,0001,117104169202,11101,0,00015,00022,20220813
BS0203117101110001420014000002242,10251100502131,,2,3,11710,11100,0142,0014,117104169200,11101,0,00029,00021,20220813
BS0203117101110000550008000002243,10251100519681,,2,3,11710,11100,0055,0008,117104169456,11101,0,00022,00000,20220813
BS0203117101110001270023000002244,10251100522322,,2,3,11710,11100,0127,0023,117104169016,11101,0,00015,00000,20220813
BS0203117101110000500000000002245,10251100524722,,2,3,11710,11100,0050,0000,117104169203,11101,0,00007,00000,20220813
BS0203117101110001370011000002246,10251100531443,10251100531442,2,3,11710,11100,0137,0011,117104169459,11101,0,00041,00000,20220813
BS0203117101110001480017000002247,10251100538802,,2,3,11710,11100,0148,0017,117104169380,11101,0,00029,00000,20220813
BS0203117101110001520015000002248,1000000000000004149604,,2,3,11710,11100,0152,0015,117104169020,11101,0,00026,00000,20240823
BS0102117101110002230012000002249,10251827,1025141,1,2,11710,11100,0223,0012,117104169390,11101,0,00013,00000,20220813
BS0102117101110002010004000002250,102511052,,1,2,11710,11100,0201,0004,117104169451,11101,0,00028,00020,20220813
BS0203117101110001710000000002251,102511059,10251118,2,3,11710,11100,0171,0000,117102123002,11101,0,00058,00000,20250709
BS0203117101110001970000000002252,102511338,10251218,2,3,11710,11100,0197,0000,117104169448,11101,0,00025,00000,20220813
BS0203117101110000890000000002253,102512836,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110001740016000002254,102512930,10251541,2,3,11710,11100,0174,0016,117104169458,11101,0,00010,00000,20220813
BS0203117101110001570000000002255,102513173,10251606,2,3,11710,11100,0157,0000,117104169459,11101,0,00028,00000,20250807
BS0203117101110002120008000002256,102513187,10251610,2,3,11710,11100,0212,0008,117104169390,11101,0,00028,00000,20220813
BS0203117101110001610007000002257,102514689,,2,3,11710,11100,0161,0007,117104169022,11101,0,00003,00024,20220813
BS0102117101110001850013000002258,102515956,,1,2,11710,11100,0185,0013,117104169372,11101,0,00004,00012,20241011
BS0203117101110001760000000002259,102518635,,2,3,11710,11100,0176,0000,117104169202,11101,0,00011,00028,20220813
BS0203117101110002180030000002260,102519046,,2,3,11710,11100,0218,0030,117104169390,11101,0,00016,00017,20220813
BS0102117101110000580002000002261,1025110573,,1,2,11710,11100,0058,0002,117104169431,11101,0,00030,00000,20220813
BS0102117101110002010001000002262,1025112805,,1,2,11710,11100,0201,0001,117104169450,11101,0,00023,00000,20250522
BS0102117101110002080005000002263,1025113599,,1,2,11710,11100,0208,0005,117103123004,11101,0,00033,00000,20220813
BS0203117101110001270005000002264,1025115477,,2,3,11710,11100,0127,0005,117104169387,11101,0,00025,00000,20240729
BS0102117101110001150012000002265,1025115506,,1,2,11710,11100,0115,0012,117104169015,11101,0,00021,00000,20250604
BS0102117101110001090004000002266,1025117390,,1,2,11710,11100,0109,0004,117104169378,11101,0,00005,00025,20250604
BS0102117101110001850014000002267,1025118451,,1,2,11710,11100,0185,0014,117104169372,11101,0,00004,00016,20220813
BS0102117101110001600006000002268,1025122061,,1,2,11710,11100,0160,0006,117104169022,11101,0,00003,00003,20220813
BS0102117101110002240019000002269,1025122576,,1,2,11710,11100,0224,0019,117104169109,11101,0,00007,00000,20220813
BS0102117101110001590014000002270,1025122660,,1,2,11710,11100,0159,0014,117103123001,11103,0,00275,00000,20241205
BS0203117101110001350012000002271,10251100189626,,2,3,11710,11100,0135,0012,117104169017,11101,0,00005,00003,20241219
BS0203117101110001560015000002272,10251100227153,,2,3,11710,11100,0156,0015,117104169202,11101,0,00030,00019,20220813
BS0203117101110001560005000002273,10251100229432,,2,3,11710,11100,0156,0005,117104169384,11101,0,00045,00000,20220813
BS0203117101110001290013000002274,10251100241806,,2,3,11710,11100,0129,0013,117104169017,11101,0,00010,00010,20220813
BS0203117101110001190015000002275,10251100453647,,2,3,11710,11100,0119,0015,117104169384,11101,0,00017,00001,20220813
BS0203117101110001310009000002276,10251100459101,,2,3,11710,11100,0131,0009,117104169017,11101,0,00009,00010,20220813
BS0203117101110000490006000002277,10251100553862,,2,3,11710,11100,0049,0006,117104169374,11101,0,00061,00000,20220813
BS0102117101110001040005000002278,1000000000000000137708,,1,2,11710,11100,0104,0005,117104169378,11101,0,00017,00000,20221123
BS0102117101110002230012000002279,10251826,1025141,1,2,11710,11100,0223,0012,117104169390,11101,0,00013,00000,20220813
BS0102117101110000880002000002280,102511998,10251347,1,2,11710,11100,0088,0002,117103123023,11104,0,00424,00000,20240701
BS0102117101110000880003000002281,102512770,10251527,1,2,11710,11100,0088,0003,117103123023,11104,0,00424,00000,20250912
BS0203117101110000890000000002282,102512810,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000002283,102512845,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0102117101110001360003000002284,102513622,10251100173815,1,2,11710,11100,0136,0003,117103123001,11103,0,00249,00000,20220813
BS0203117101110000990011000002285,102513937,,2,3,11710,11100,0099,0011,117104169429,11101,0,00039,00024,20220813
BS0203117101110001310003000002286,102514737,,2,3,11710,11100,0131,0003,117104169017,11101,0,00015,00019,20220813
BS0102117101110001930016000002287,102515576,,1,2,11710,11100,0193,0016,117104169372,11101,0,00030,00000,20220813
BS0102117101110002240017000002288,102517781,,1,2,11710,11100,0224,0017,117104169109,11101,0,00009,00001,20220813
BS0203117101110001730005000002289,102518143,,2,3,11710,11100,0173,0005,117104169202,11101,0,00029,00009,20220813
BS0102117101110001680019000002290,1025110037,,1,2,11710,11100,0168,0019,117103123001,11103,0,00287,00001,20220813
BS0102117101110002240007000002291,1025111680,,1,2,11710,11100,0224,0007,117104169109,11101,0,00001,00009,20220813
BS0203117101110001720001000002292,1025111794,,2,3,11710,11100,0172,0001,117104169202,11101,0,00029,00020,20220813
BS0203117101110001770000000002293,1025112782,,2,3,11710,11100,0177,0000,117102123002,11101,0,00042,00000,20220813
BS0102117101110000580022000002294,1025112901,,1,2,11710,11100,0058,0022,117104169431,11101,0,00016,00000,20220813
BS0102117101110000670007000002295,1025113275,,1,2,11710,11100,0067,0007,117104169375,11101,0,00008,00000,20220813
BS0102117101110001450038000002296,1025113977,,1,2,11710,11100,0145,0038,117104169200,11101,0,00011,00021,20250604
BS0203117101110001010010000002297,1025114186,,2,3,11710,11100,0101,0010,117104169429,11101,0,00050,00006,20220813
BS0102117101110001880008000002298,1025114376,,1,2,11710,11100,0188,0008,117104169372,11101,0,00020,00018,20220813
BS0203117101110001170023000002299,1025114562,,2,3,11710,11100,0117,0023,117104169201,11101,0,00007,00004,20220813
BS0203117101110001430006000002300,1025116787,,2,3,11710,11100,0143,0006,117104169020,11101,0,00015,00000,20220813
BS0102117101110001030015000002301,1025118135,,1,2,11710,11100,0103,0015,117104169429,11101,0,00053,00000,20220813
BS0203117101110001630014000002302,1025118615,,2,3,11710,11100,0163,0014,117104169022,11101,0,00015,00014,20220813
BS0203117101110001610005000002303,1025121161,,2,3,11710,11100,0161,0005,117104169022,11101,0,00009,00000,20220813
BS0102117101110001120017000002304,1025123122,,1,2,11710,11100,0112,0017,117104169380,11101,0,00008,00000,20220813
BS0102117101110001140003000002305,1025124061,,1,2,11710,11100,0114,0003,117103123014,11104,0,00173,00000,20250217
BS0203117101110001590012000002306,1025124247,,2,3,11710,11100,0159,0012,117104169202,11101,0,00042,00011,20241227
BS0203117101110000570008000002307,10251100237329,,2,3,11710,11100,0057,0008,117104169431,11101,0,00027,00019,20220813
BS0102117101110001580018000002308,10251100246428,,1,2,11710,11100,0158,0018,117104169020,11101,0,00006,00000,20240809
BS0102117101110001090008000002309,10251100468362,,1,2,11710,11100,0109,0008,117103123014,11104,0,00141,00000,20241206
BS0203117101110001930007000002310,10251100501323,,2,3,11710,11100,0193,0007,117104169449,11101,0,00007,00034,20220813
BS0203117101110001050005000002311,10251100513221,,2,3,11710,11100,0105,0005,117104169378,11101,0,00010,00000,20220813
BS0203117101110001230013000002312,10251100521242,,2,3,11710,11100,0123,0013,117104169459,11101,0,00067,00000,20220813
BS0203117101110001960006000002313,10251100530078,,2,3,11710,11100,0196,0006,117104169372,11101,0,00042,00011,20220813
BS0203117101110001060008000002314,10251100564382,,2,3,11710,11100,0106,0008,117104169378,11101,0,00030,00000,20221111
BS0203117101110000360009000002315,1000000000000001959765,,2,3,11710,11100,0036,0009,117104169374,11101,0,00021,00000,20250919
BS0203117101110000890000000002316,102512887,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110001740016000002317,102512931,10251541,2,3,11710,11100,0174,0016,117104169458,11101,0,00012,00000,20220813
BS0203117101110001120013000002318,102513495,,2,3,11710,11100,0112,0013,117104169200,11101,0,00012,00008,20220813
BS0102117101110000600005000002319,102514011,,1,2,11710,11100,0060,0005,117104169429,11101,0,00021,00000,20250912
BS0102117101110001070003000002320,102515867,,1,2,11710,11100,0107,0003,117104169429,11101,0,00059,00000,20220813
BS0102117101110001480005000002321,102517470,,1,2,11710,11100,0148,0005,117104169380,11101,0,00023,00000,20220813
BS0203117101110001450021000002322,102517630,,2,3,11710,11100,0145,0021,117104169199,11101,0,00014,00054,20220813
BS0102117101110000600013000002323,102518021,,1,2,11710,11100,0060,0013,117104169429,11101,0,00019,00032,20220813
BS0203117101110001300013000002324,102518739,,2,3,11710,11100,0130,0013,117104169017,11101,0,00015,00018,20220813
BS0102117101110001010018000002325,102519186,,1,2,11710,11100,0101,0018,117104169429,11101,0,00050,00016,20220813
BS0203117101110001240036000002326,102519974,,2,3,11710,11100,0124,0036,117104169200,11101,0,00042,00007,20220813
BS0102117101110002240012000002327,1025111403,,1,2,11710,11100,0224,0012,117104169109,11101,0,00001,00000,20220813
BS0203117101110001420001000002328,1025111722,,2,3,11710,11100,0142,0001,117104169458,11101,0,00039,00000,20220813
BS0203117101110001240017000002329,1025111982,,2,3,11710,11100,0124,0017,117104169384,11101,0,00008,00010,20220813
BS0203117101110001760007000002330,1025114189,,2,3,11710,11100,0176,0007,117104169202,11101,0,00015,00027,20220813
BS0102117101110001440032000002331,1025115281,,1,2,11710,11100,0144,0032,117104169199,11101,0,00014,00019,20250604
BS0102117101110000370000000002332,1025115423,,1,2,11710,11100,0037,0000,,,0,00000,00000,20220813
BS0203117101110001170007000002333,1025117460,,2,3,11710,11100,0117,0007,117104169201,11101,0,00007,00020,20220813
BS0102117101110001330000000002334,1025120408,,1,2,11710,11100,0133,0000,117103123001,11103,0,00264,00000,20220813
BS0203117101110001560020000002335,1025120516,,2,3,11710,11100,0156,0020,117104169384,11101,0,00051,00000,20220813
BS0102117101110000570007000002336,1025120799,,1,2,11710,11100,0057,0007,117104169431,11101,0,00027,00021,20220813
BS0203117101110002190010000002337,1025122079,,2,3,11710,11100,0219,0010,117104169388,11101,0,00014,00000,20220813
BS0102117101110001190025000002338,1025122103,,1,2,11710,11100,0119,0025,117104169200,11101,0,00030,00000,20220813
BS0203117101110001870015000002339,1025122686,,2,3,11710,11100,0187,0015,117104169372,11101,0,00016,00022,20220813
BS0102117101110001860011000002340,1025122765,,1,2,11710,11100,0186,0011,117104169372,11101,0,00012,00000,20220813
BS0203117101110001040000000002341,1025123940,,2,3,11710,11100,0104,0000,117104169429,11101,0,00052,00000,20250225
BS0203117101110001020025000002342,10251100228973,,2,3,11710,11100,0102,0025,117104169429,11101,0,00049,00027,20220813
BS0203117101110001850016000002343,10251100229233,,2,3,11710,11100,0185,0016,117104169372,11101,0,00004,00020,20220813
BS0203117101110001550018000002344,10251100241626,,2,3,11710,11100,0155,0018,117104169202,11101,0,00030,00020,20220813
BS0203117101110001560002000002345,10251100242686,,2,3,11710,11100,0156,0002,117104169202,11101,0,00030,00017,20220813
BS0102117101110001070006000002346,10251100468421,,1,2,11710,11100,0107,0006,117103123006,11105,0,00469,00000,20220813
BS0203117101110001410005000002347,10251100482043,,2,3,11710,11100,0141,0005,117104169200,11101,0,00029,00008,20220813
BS0203117101110001720000000002348,10251100494803,10251100494843,2,3,11710,11100,0172,0000,117104169202,11101,0,00029,00028,20220813
BS0203117101110000540006000002349,10251100517431,,2,3,11710,11100,0054,0006,117104169456,11101,0,00035,00017,20220813
BS0102117101110000890023000002350,10251100540062,10251601,1,2,11710,11100,0089,0023,117102000006,11102,0,01264,00000,20220813
BS0203117101110000470007000002351,10251100567042,,2,3,11710,11100,0047,0007,117104169456,11101,0,00010,00000,20220813
BS0102117101110001670000000002352,102511439,10251232,1,2,11710,11100,0167,0000,117104169447,11101,0,00004,00000,20220813
BS0102117101110000890016000002353,102512306,10251434,1,2,11710,11100,0089,0016,117102000006,11102,0,01196,00000,20220813
BS0102117101110000700000000002354,102512768,10251526,1,2,11710,11100,0070,0000,117104169429,11101,0,00029,00000,20241217
BS0203117101110000890000000002355,102512822,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110000890000000002356,102512875,10251534,2,3,11710,11100,0089,0000,117102000006,11102,0,01218,00000,20220813
BS0203117101110002250000000002357,102512935,10251542,2,3,11710,11100,0225,0000,117102000006,11102,0,01089,00000,20220813
BS0102117101110001080004000002358,102514590,,1,2,11710,11100,0108,0004,117103123014,11104,0,00151,00000,20220813
BS0102117101110001800005000002359,102515682,,1,2,11710,11100,0180,0005,117103123006,11105,0,00510,00000,20220813
BS0102117101110001510011000002360,102516162,,1,2,11710,11100,0151,0011,117104169199,11101,0,00028,00000,20220813
BS0102117101110000630000000002361,102516591,,1,2,11710,11100,0063,0000,117104169429,11101,0,00018,00023,20220813
BS0102117101110002230011000002362,102519284,,1,2,11710,11100,0223,0011,117104169390,11101,0,00011,00000,20220813
BS0102117101110001230012000002363,102519561,,1,2,11710,11100,0123,0012,117104169200,11101,0,00042,00008,20250604
BS0102117101110000890010000002364,1025111603,,1,2,11710,11100,0089,0010,117102000006,11102,0,01232,00000,20220813
